"Story","Title","Result","Date","Stability","Duration (s)"
"Create Comment for Product","Create Product Comment with valid ID and filled form as registered user","SUCCESS","2022-11-04T20:46:58.8831204+07:00[Asia/Jakarta]","0.0","9.32"
"Create Comment for Product","Create Product Comment with valid ID and filled form as anon user","SUCCESS","2022-11-04T20:47:08.2862617+07:00[Asia/Jakarta]","0.0","1.72"
"Create Comment for Product","Create Product Comment with invalid ID and filled form as registered user","SUCCESS","2022-11-04T20:47:10.1334758+07:00[Asia/Jakarta]","0.0","1.71"
"Create Comment for Product","Create Product Comment with invalid ID and filled form as anon user","SUCCESS","2022-11-04T20:47:11.8486524+07:00[Asia/Jakarta]","0.0","1.43"
"Create Comment for Product","Create Product Comment with valid ID and empty form as registered user","SUCCESS","2022-11-04T20:47:13.295102+07:00[Asia/Jakarta]","0.0","3.17"
"Create Comment for Product","Create Product Comment with valid ID and empty form as anon user","SUCCESS","2022-11-04T20:47:16.4834793+07:00[Asia/Jakarta]","0.0","1.37"
"Create Comment for Product","Create Product Comment with invalid ID and empty form as registered user","SUCCESS","2022-11-04T20:47:17.8626588+07:00[Asia/Jakarta]","0.0","1.34"
"Create Comment for Product","Create Product Comment with invalid ID and empty form as anon user","SUCCESS","2022-11-04T20:47:19.2128556+07:00[Asia/Jakarta]","0.0","1.32"
