"Story","Title","Result","Date","Stability","Duration (s)"
"Create Order","Create Order as registered user with filled form","SUCCESS","2022-11-03T21:31:44.646067+07:00[Asia/Jakarta]","0.0","7.27"
"Create Order","Create Order as registered user with empty form","SUCCESS","2022-11-03T21:31:52.1801654+07:00[Asia/Jakarta]","0.0","3.16"
"Create Order","Create Order as anon user with filled form","SUCCESS","2022-11-03T21:31:55.3540249+07:00[Asia/Jakarta]","0.0","3.69"
"Create Order","Create Order as anon user with empty form","SUCCESS","2022-11-03T21:31:59.0522634+07:00[Asia/Jakarta]","0.0","1.42"
