"Story","Title","Result","Date","Stability","Duration (s)"
"Create Order","Create Order as registered user with filled form","SUCCESS","2022-11-04T20:46:58.8392421+07:00[Asia/Jakarta]","0.0","9.38"
"Create Order","Create Order as registered user with empty form","SUCCESS","2022-11-04T20:47:08.2703014+07:00[Asia/Jakarta]","0.0","1.52"
"Create Order","Create Order as anon user with filled form","SUCCESS","2022-11-04T20:47:09.8021261+07:00[Asia/Jakarta]","0.0","1.52"
"Create Order","Create Order as anon user with empty form","SUCCESS","2022-11-04T20:47:11.3409546+07:00[Asia/Jakarta]","0.0","1.41"
