"Story","Title","Result","Date","Stability","Duration (s)"
"Get Order","Get All Orders as registered user","SUCCESS","2022-11-03T21:31:44.7198708+07:00[Asia/Jakarta]","0.0","7.12"
"Get Order","Get All Orders as anon user","SUCCESS","2022-11-03T21:31:52.101375+07:00[Asia/Jakarta]","0.0","3.8"
"Get Order","Get Orders as registered user","SUCCESS","2022-11-03T21:31:55.9622506+07:00[Asia/Jakarta]","0.0","5.34"
"Get Order","Get Orders as anon user","SUCCESS","2022-11-03T21:32:01.3058139+07:00[Asia/Jakarta]","0.0","6.55"
