"Story","Title","Result","Date","Stability","Duration (s)"
"Create Comment for Product","Create Product Comment with valid ID and filled form as registered user","SUCCESS","2022-11-03T21:31:44.2754832+07:00[Asia/Jakarta]","0.0","7.58"
"Create Comment for Product","Create Product Comment with valid ID and filled form as anon user","SUCCESS","2022-11-03T21:31:52.0485169+07:00[Asia/Jakarta]","0.0","3.84"
"Create Comment for Product","Create Product Comment with invalid ID and filled form as registered user","SUCCESS","2022-11-03T21:31:55.9303354+07:00[Asia/Jakarta]","0.0","6.63"
"Create Comment for Product","Create Product Comment with invalid ID and filled form as anon user","SUCCESS","2022-11-03T21:32:02.5678589+07:00[Asia/Jakarta]","0.0","1.29"
"Create Comment for Product","Create Product Comment with valid ID and empty form as registered user","SUCCESS","2022-11-03T21:32:03.8631247+07:00[Asia/Jakarta]","0.0","1.3"
"Create Comment for Product","Create Product Comment with valid ID and empty form as anon user","SUCCESS","2022-11-03T21:32:05.1682104+07:00[Asia/Jakarta]","0.0","2.79"
"Create Comment for Product","Create Product Comment with invalid ID and empty form as registered user","SUCCESS","2022-11-03T21:32:07.9673676+07:00[Asia/Jakarta]","0.0","1.37"
"Create Comment for Product","Create Product Comment with invalid ID and empty form as anon user","SUCCESS","2022-11-03T21:32:09.3407307+07:00[Asia/Jakarta]","0.0","3.32"
